feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,risk
0.21932223545833052,0.7724972547228445,0.9807034073189314,0.17182090533232663,0.7789630792170503,0.5745028036851586,0.217802074479179,0.018810371322108832,0.45261935847560375,0.30931532298118714,0.6773509714374292
0.9059538055577556,0.017130528085203545,0.9687861359245017,0.043157979654395384,0.22710794323071448,0.983921987404374,0.9042585313985338,0.34002415017152887,0.3328611652083001,0.5694636067038815,0.826470333472476
0.6415076906165199,0.7925649384628445,0.2511097312409376,0.772902396787624,0.19867682944188325,0.02730305337394978,0.7765915169457969,0.843465518619557,0.7016972139082673,0.31657333381881425,0.6204702642743787
0.3743063643880358,0.016218884934550704,0.2450726060335543,0.5579406815341504,0.15935520353305876,0.19097196800589433,0.7985897425656917,0.8590913195247939,0.10729547093826464,0.5177348795619178,0.9174629840773542
0.8683552875818386,0.20761036606323935,0.6616595209419185,0.8952987799237222,0.6361639600835722,0.2335980702190178,0.05005012577280199,0.16853689640825076,0.5844419044340421,0.9563721263564935,0.35383437810069096
0.17602455941915096,0.5023093529451245,0.43875878252624556,0.8612877449466791,0.5985968295324194,0.42087949088858323,0.43509167914945657,0.08318047227151082,0.9564733017375896,0.36247065752738516,0.40363409963155816
0.07572628162461303,0.8625280613453438,0.4356716256220766,0.15099144962313227,0.07302759898405153,0.9714753229081462,0.4574445698553794,0.8360048469242048,0.5890460596046545,0.06552327452426754,0.45072844164242887
0.9964050018852003,0.575215020117455,0.7753180424645434,0.2873481104589256,0.6449345843569192,0.7557290408491936,0.1918064431615054,0.717148298553336,0.24461180925107795,0.570839482125498,0.22491771024177154
0.4264821856754474,0.024550619612943247,0.8258108437607811,0.968081037453433,0.5931390404971078,0.8677383745111676,0.8433857732205174,0.34254889423134705,0.620194749310374,0.13376766103165494,0.581486675511497
0.17794549766899648,0.06036758781827356,0.40046637621063963,0.5823366312071343,0.10232224632129128,0.7497769771408099,0.40449747650171397,0.23925697344421115,0.21616128090909625,0.012576821733338184,0.2030920211518099
0.7400402760442588,0.5275398579122689,0.7720076235028532,0.9344239396205859,0.22011550368728472,0.7721527278823366,0.029734928447729514,0.8902060934283562,0.468287438758177,0.9211669969463182,0.6524931588438501
0.257710304072189,0.8722884605298645,0.7220896113827456,0.12853453098630008,0.37487352996155854,0.4283796823890159,0.6560082838174802,0.30447166289857164,0.885632527524331,0.018193030339015537,0.3684142294292785
0.5236516643864585,0.7149336518399371,0.4460924252325741,0.28125476311934794,0.20790389049863522,0.10876246576172854,0.20111122300445428,0.19378938673173063,0.9697146791325281,0.7147393038169209,0.41590333039039484
0.5231383258523852,0.8643577004073274,0.19573884354256643,0.0036507490697788025,0.16383571576669675,0.37484394006685284,0.011423191907258712,0.558539703767512,0.32493316651769844,0.8633250492479629,0.8285086550418403
0.3467009311935798,0.12183198883044466,0.989868481435171,0.6065661299369911,0.4584206313541439,0.07918912881521734,0.27793612919205846,0.6664494014385896,0.6849395099407614,0.8145152945226651,0.40441231394870303
